2026-06-29 09:47:40 | INFO     | logger:80 | --- 局域网访问地址 (同局域网设备) ---
2026-06-29 09:47:40 | INFO     | logger:80 |   http://10.32.40.161:5000/         (分析看板)
2026-06-29 09:47:40 | INFO     | logger:80 |   http://10.32.40.161:5000/realtime  (实时大屏)
2026-06-29 09:47:40 | INFO     | logger:80 | 日志文件: D:\code_king\Data\Taxi\log\taxi_analysis_20260629.log
2026-06-29 09:48:14 | INFO     | logger:80 | ============================================================
2026-06-29 09:48:14 | INFO     | logger:80 |   模式: Web看板
2026-06-29 09:48:14 | INFO     | logger:80 | ============================================================
2026-06-29 09:48:14 | INFO     | logger:80 | 正在初始化数据...
2026-06-29 09:48:14 | INFO     | logger:80 | 正在初始化 Web 看板数据...
2026-06-29 09:48:15 | INFO     | logger:80 | OD数据加载完成: 8,517 条行程, 10 个字段
2026-06-29 09:48:15 | INFO     | logger:80 | 初始化时序分析器...
2026-06-29 09:48:15 | INFO     | logger:80 | 时序分析器就绪
2026-06-29 09:48:15 | INFO     | logger:80 | 初始化空间分析器...
2026-06-29 09:48:15 | INFO     | logger:80 | 空间分析器就绪
2026-06-29 09:48:15 | INFO     | logger:80 | Web 看板数据初始化完成!
2026-06-29 09:48:15 | INFO     | logger:80 | 本机访问: http://localhost:5000
2026-06-29 09:48:15 | INFO     | logger:80 | 实时大屏: http://localhost:5000/realtime
2026-06-29 09:48:16 | INFO     | logger:80 | --- 局域网访问地址 (同局域网设备) ---
2026-06-29 09:48:16 | INFO     | logger:80 |   http://10.32.40.161:5000/         (分析看板)
2026-06-29 09:48:16 | INFO     | logger:80 |   http://10.32.40.161:5000/realtime  (实时大屏)
2026-06-29 09:48:16 | INFO     | logger:80 | 日志文件: D:\code_king\Data\Taxi\log\taxi_analysis_20260629.log
2026-06-29 09:48:59 | INFO     | logger:80 | ============================================================
2026-06-29 09:48:59 | INFO     | logger:80 |   模式: Web看板
2026-06-29 09:48:59 | INFO     | logger:80 | ============================================================
2026-06-29 09:48:59 | INFO     | logger:80 | 正在初始化数据...
2026-06-29 09:48:59 | INFO     | logger:80 | 正在初始化 Web 看板数据...
2026-06-29 09:48:59 | INFO     | logger:80 | OD数据加载完成: 8,517 条行程, 10 个字段
2026-06-29 09:48:59 | INFO     | logger:80 | 初始化时序分析器...
2026-06-29 09:48:59 | INFO     | logger:80 | 时序分析器就绪
2026-06-29 09:48:59 | INFO     | logger:80 | 初始化空间分析器...
2026-06-29 09:49:00 | INFO     | logger:80 | 空间分析器就绪
2026-06-29 09:49:00 | INFO     | logger:80 | Web 看板数据初始化完成!
2026-06-29 09:49:00 | INFO     | logger:80 | 本机访问: http://localhost:5000
2026-06-29 09:49:00 | INFO     | logger:80 | 实时大屏: http://localhost:5000/realtime
2026-06-29 09:49:01 | INFO     | logger:80 | --- 局域网访问地址 (同局域网设备) ---
2026-06-29 09:49:01 | INFO     | logger:80 |   http://10.32.40.161:5000/         (分析看板)
2026-06-29 09:49:01 | INFO     | logger:80 |   http://10.32.40.161:5000/realtime  (实时大屏)
2026-06-29 09:49:01 | INFO     | logger:80 | 日志文件: D:\code_king\Data\Taxi\log\taxi_analysis_20260629.log
2026-06-29 09:50:24 | INFO     | logger:80 | ============================================================
2026-06-29 09:50:24 | INFO     | logger:80 |   模式: Web看板
2026-06-29 09:50:24 | INFO     | logger:80 | ============================================================
2026-06-29 09:50:24 | INFO     | logger:80 | 正在初始化数据...
2026-06-29 09:50:24 | INFO     | logger:80 | 正在初始化 Web 看板数据...
2026-06-29 09:50:24 | INFO     | logger:80 | OD数据加载完成: 8,517 条行程, 10 个字段
2026-06-29 09:50:24 | INFO     | logger:80 | 初始化时序分析器...
2026-06-29 09:50:24 | INFO     | logger:80 | 时序分析器就绪
2026-06-29 09:50:24 | INFO     | logger:80 | 初始化空间分析器...
2026-06-29 09:50:25 | INFO     | logger:80 | 空间分析器就绪
2026-06-29 09:50:25 | INFO     | logger:80 | Web 看板数据初始化完成!
2026-06-29 09:50:25 | INFO     | logger:80 | 本机访问: http://localhost:5000
2026-06-29 09:50:25 | INFO     | logger:80 | 实时大屏: http://localhost:5000/realtime
2026-06-29 09:50:26 | INFO     | logger:80 | --- 局域网访问地址 (同局域网设备) ---
2026-06-29 09:50:26 | INFO     | logger:80 |   http://10.32.40.161:5000/         (分析看板)
2026-06-29 09:50:26 | INFO     | logger:80 |   http://10.32.40.161:5000/realtime  (实时大屏)
2026-06-29 09:50:26 | INFO     | logger:80 | 日志文件: D:\code_king\Data\Taxi\log\taxi_analysis_20260629.log
2026-06-29 09:50:36 | INFO     | logger:80 | ============================================================
2026-06-29 09:50:36 | INFO     | logger:80 |   模式: Web看板
2026-06-29 09:50:36 | INFO     | logger:80 | ============================================================
2026-06-29 09:50:36 | INFO     | logger:80 | 正在初始化数据...
2026-06-29 09:50:36 | INFO     | logger:80 | 正在初始化 Web 看板数据...
2026-06-29 09:50:36 | INFO     | logger:80 | OD数据加载完成: 8,517 条行程, 10 个字段
2026-06-29 09:50:36 | INFO     | logger:80 | 初始化时序分析器...
2026-06-29 09:50:36 | INFO     | logger:80 | 时序分析器就绪
2026-06-29 09:50:36 | INFO     | logger:80 | 初始化空间分析器...
2026-06-29 09:50:37 | INFO     | logger:80 | 空间分析器就绪
2026-06-29 09:50:37 | INFO     | logger:80 | Web 看板数据初始化完成!
2026-06-29 09:50:37 | INFO     | logger:80 | 本机访问: http://localhost:5000
2026-06-29 09:50:37 | INFO     | logger:80 | 实时大屏: http://localhost:5000/realtime
2026-06-29 09:50:38 | INFO     | logger:80 | --- 局域网访问地址 (同局域网设备) ---
2026-06-29 09:50:38 | INFO     | logger:80 |   http://10.32.40.161:5000/         (分析看板)
2026-06-29 09:50:38 | INFO     | logger:80 |   http://10.32.40.161:5000/realtime  (实时大屏)
2026-06-29 09:50:38 | INFO     | logger:80 | 日志文件: D:\code_king\Data\Taxi\log\taxi_analysis_20260629.log
2026-06-29 09:50:55 | INFO     | logger:80 | ============================================================
2026-06-29 09:50:55 | INFO     | logger:80 |   模式: Web看板
2026-06-29 09:50:55 | INFO     | logger:80 | ============================================================
2026-06-29 09:50:55 | INFO     | logger:80 | 正在初始化数据...
2026-06-29 09:50:55 | INFO     | logger:80 | 正在初始化 Web 看板数据...
2026-06-29 09:50:55 | INFO     | logger:80 | OD数据加载完成: 8,517 条行程, 10 个字段
2026-06-29 09:50:55 | INFO     | logger:80 | 初始化时序分析器...
2026-06-29 09:50:55 | INFO     | logger:80 | 时序分析器就绪
2026-06-29 09:50:55 | INFO     | logger:80 | 初始化空间分析器...
2026-06-29 09:50:56 | INFO     | logger:80 | 空间分析器就绪
2026-06-29 09:50:56 | INFO     | logger:80 | Web 看板数据初始化完成!
2026-06-29 09:50:56 | INFO     | logger:80 | 本机访问: http://localhost:5000
2026-06-29 09:50:56 | INFO     | logger:80 | 实时大屏: http://localhost:5000/realtime
2026-06-29 09:50:56 | INFO     | logger:80 | --- 局域网访问地址 (同局域网设备) ---
2026-06-29 09:50:56 | INFO     | logger:80 |   http://10.32.40.161:5000/         (分析看板)
2026-06-29 09:50:56 | INFO     | logger:80 |   http://10.32.40.161:5000/realtime  (实时大屏)
2026-06-29 09:50:56 | INFO     | logger:80 | 日志文件: D:\code_king\Data\Taxi\log\taxi_analysis_20260629.log
2026-06-29 09:51:03 | INFO     | logger:80 | ============================================================
2026-06-29 09:51:03 | INFO     | logger:80 |   模式: Web看板
2026-06-29 09:51:03 | INFO     | logger:80 | ============================================================
2026-06-29 09:51:03 | INFO     | logger:80 | 正在初始化数据...
2026-06-29 09:51:03 | INFO     | logger:80 | 正在初始化 Web 看板数据...
2026-06-29 09:51:03 | INFO     | logger:80 | OD数据加载完成: 8,517 条行程, 10 个字段
2026-06-29 09:51:03 | INFO     | logger:80 | 初始化时序分析器...
2026-06-29 09:51:03 | INFO     | logger:80 | 时序分析器就绪
2026-06-29 09:51:03 | INFO     | logger:80 | 初始化空间分析器...
2026-06-29 09:51:04 | INFO     | logger:80 | 空间分析器就绪
2026-06-29 09:51:04 | INFO     | logger:80 | Web 看板数据初始化完成!
2026-06-29 09:51:04 | INFO     | logger:80 | 本机访问: http://localhost:5000
2026-06-29 09:51:04 | INFO     | logger:80 | 实时大屏: http://localhost:5000/realtime
2026-06-29 09:51:04 | INFO     | logger:80 | --- 局域网访问地址 (同局域网设备) ---
2026-06-29 09:51:04 | INFO     | logger:80 |   http://10.32.40.161:5000/         (分析看板)
2026-06-29 09:51:04 | INFO     | logger:80 |   http://10.32.40.161:5000/realtime  (实时大屏)
2026-06-29 09:51:04 | INFO     | logger:80 | 日志文件: D:\code_king\Data\Taxi\log\taxi_analysis_20260629.log
2026-06-29 09:51:12 | INFO     | logger:80 | ============================================================
2026-06-29 09:51:12 | INFO     | logger:80 |   模式: Web看板
2026-06-29 09:51:12 | INFO     | logger:80 | ============================================================
2026-06-29 09:51:12 | INFO     | logger:80 | 正在初始化数据...
2026-06-29 09:51:12 | INFO     | logger:80 | 正在初始化 Web 看板数据...
2026-06-29 09:51:12 | INFO     | logger:80 | OD数据加载完成: 8,517 条行程, 10 个字段
2026-06-29 09:51:12 | INFO     | logger:80 | 初始化时序分析器...
2026-06-29 09:51:12 | INFO     | logger:80 | 时序分析器就绪
2026-06-29 09:51:12 | INFO     | logger:80 | 初始化空间分析器...
2026-06-29 09:51:13 | INFO     | logger:80 | 空间分析器就绪
2026-06-29 09:51:13 | INFO     | logger:80 | Web 看板数据初始化完成!
2026-06-29 09:51:13 | INFO     | logger:80 | 本机访问: http://localhost:5000
2026-06-29 09:51:13 | INFO     | logger:80 | 实时大屏: http://localhost:5000/realtime
2026-06-29 09:51:14 | INFO     | logger:80 | --- 局域网访问地址 (同局域网设备) ---
2026-06-29 09:51:14 | INFO     | logger:80 |   http://10.32.40.161:5000/         (分析看板)
2026-06-29 09:51:14 | INFO     | logger:80 |   http://10.32.40.161:5000/realtime  (实时大屏)
2026-06-29 09:51:14 | INFO     | logger:80 | 日志文件: D:\code_king\Data\Taxi\log\taxi_analysis_20260629.log
2026-06-29 09:55:28 | INFO     | logger:80 | ============================================================
2026-06-29 09:55:28 | INFO     | logger:80 |   模式: 数据分析
2026-06-29 09:55:28 | INFO     | logger:80 | ============================================================
2026-06-29 09:55:28 | INFO     | logger:80 | 分析数据: 8,517 条行程, 10 个字段
2026-06-29 09:55:28 | INFO     | logger:80 | ============================================================
2026-06-29 09:55:28 | INFO     | logger:80 |   时序分析
2026-06-29 09:55:28 | INFO     | logger:80 | ============================================================
2026-06-29 09:55:28 | INFO     | logger:80 | ============================================================
2026-06-29 09:55:28 | INFO     | logger:80 |   空间分析
2026-06-29 09:55:28 | INFO     | logger:80 | ============================================================
2026-06-29 09:55:28 | ERROR    | logger:86 | 数据分析失败: No module named 'sklearn'
2026-06-29 09:55:28 | ERROR    | logger:86 | Traceback (most recent call last):
  File "D:\code_king\Data\Taxi\main.py", line 220, in run_analysis
    spatial.find_hotspots("start")
  File "D:\code_king\Data\Taxi\src\spatial_analysis.py", line 379, in find_hotspots
    from sklearn.cluster import DBSCAN
ModuleNotFoundError: No module named 'sklearn'

2026-06-29 09:58:17 | INFO     | logger:80 | ============================================================
2026-06-29 09:58:17 | INFO     | logger:80 |   模式: 数据分析
